original string|restaurant name|city name|address
Vivande Ristorante 670 Golden Gate Ave. San Francisco|Vivande Ristorante|San Francisco|670 Golden Gate Ave.
World Wrapps 2257 Chestnut St. San Francisco|World Wrapps|San Francisco|2257 Chestnut St.
Wu Kong 101 Spear St. San Francisco|Wu Kong|San Francisco|101 Spear St.
Yank Sing 427 Battery St. San Francisco|Yank Sing|San Francisco|427 Battery St.
Yaya Cuisine 1220 9th Ave. San Francisco|Yaya Cuisine|San Francisco|1220 9th Ave.
Yoyo Tsumami Bistro 1611 Post St. San Francisco|Yoyo Tsumami Bistro|San Francisco|1611 Post St.
Zarzuela 2000 Hyde St. San Francisco|Zarzuela|San Francisco|2000 Hyde St.
Zuni Caf&eacute; & Grill 1658 Market St. San Francisco|Zuni Caf&eacute; & Grill|San Francisco|1658 Market St.
La Grotta at Ravinia Dunwoody Rd.  Holiday Inn/Crowne Plaza at Ravinia  Dunwoody Atlanta|La Grotta|Atlanta|Dunwoody Rd.  Holiday Inn/Crowne Plaza at Ravinia  Dunwoody
Little Szechuan C Buford Hwy.  Northwoods Plaza  Doraville Atlanta|Little Szechuan|Atlanta|C Buford Hwy.  Northwoods Plaza  Doraville
Mi Spia Dunwoody Rd.  Park Place  across from Perimeter Mall  Dunwoody Atlanta|Mi Spia|Atlanta|Dunwoody Rd.  Park Place  across from Perimeter Mall  Dunwoody
Toulouse B Peachtree Rd. Atlanta|Toulouse|Atlanta|B Peachtree Rd.
Garden Court Market and New Montgomery Sts. San Francisco|Garden Court Market|San Francisco|New Montgomery Sts.
Gaylord's Ghirardelli Sq. San Francisco|Gaylord's|San Francisco|Ghiradelli Sq.
Greens Bldg. A Fort Mason San Francisco|Greens|San Francisco|Landmark Bldg. A Fort Mason
McCormick & Kuleto's Ghirardelli Sq. San Francisco|McCormick & Kuleto's|San Francisco|Ghirardelli Sq.
